name,ovr_score,ovr_rank,tch_score,tch_rank,res_score,res_rank,cit_score,cit_rank,ind_score,ind_rank,int_score,int_rank,std_stat,std_rank,stf_stat,stf_rank,int_stat,int_rank
Opole University of Technology,18.4,1383,16.2,1586,13,1197,24.9,1311,37.8,1355,29.3,1298,"5,604",1617,14.5,1115,7%,865
Oran 1 University,18.4,1384,30.4,510,8.3,1738,22.2,1377,37.6,1405,39.5,972,"25,775",544,19.2,629,1%,1522
Osaka Metropolitan University,18.4,1385,23.7,829,17,892,17.8,1470,47.3,481,24.2,1505,"15,827",959,11.5,1437,5%,1033
Osmania University,18.4,1386,32.4,434,13.9,1112,16.8,1507,40.7,878,18.1,1742,"10,814",1250,23.7,357,3%,1176
University of Ostrava,18.4,1387,18.5,1276,15.1,1016,16.2,1524,37.1,1624,46,774,"8,492",1428,16.4,880,11%,631
University of Pannonia,18.4,1388,18,1344,14.6,1061,17.5,1477,39.1,1099,39.5,971,"5,351",1631,17.3,786,6%,919
Paris Nanterre University,18.4,1389,24.8,761,21,707,14,1586,37.1,1626,55.1,573,"34,972",283,37.4,81,17%,396
University of Pau and Pays de l’Adour,18.4,1390,18.5,1277,11.3,1350,23.9,1334,41.6,790,71.6,326,"14,186",1058,14.5,1113,14%,507
Universitas Pendidikan Indonesia,18.4,1391,20,1132,10.7,1429,26,1286,37.4,1480,18.4,1732,"32,320",344,20.1,557,1%,1515
Persian Gulf University,18.4,1392,15.7,1627,13.4,1159,38.6,1050,48.5,441,28.3,1334,"5,070",1642,21.3,471,3%,1188
Pirogov Russian National Research Medical University,18.4,1393,42.1,199,11.2,1353,3.1,1783,40.8,867,20.8,1662,"9,607",1342,5.9,1757,5%,1049
Pontifical Catholic University of Peru,18.4,1394,20.7,1067,10,1513,28.9,1236,37.8,1354,43.1,867,"25,644",548,7.8,1708,1%,1639
Pontifical Catholic University of Valparaíso,18.4,1395,16.6,1539,18.1,841,21.4,1392,47.4,479,50,668,"17,703",867,26.6,255,1%,1464
Pontifícia Universidade Católica do Paraná,18.4,1396,23.2,865,13.5,1142,34.2,1127,39.3,1065,26.7,1396,"12,301",1166,14.7,1080,1%,1572
Poznan University of Medical Sciences,18.4,1397,22.1,945,12.2,1266,30.7,1195,46.7,500,35.3,1086,"7,495",1491,6,1754,14%,531
Poznan University of Technology,18.4,1398,18.9,1224,12.7,1213,26.6,1272,40,968,22.2,1599,"14,502",1042,11.6,1425,4%,1134
University of Primorska,18.4,1399,15.8,1616,14.2,1096,16.3,1520,38.1,1288,68,367,"6,089",1590,16.6,862,15%,467
Prince of Songkla University,18.4,1400,18.8,1239,13.6,1132,18.9,1442,51.2,386,33.1,1161,"32,779",334,13,1276,2%,1397
Qassim University,18.4,1401,20.1,1122,8.7,1684,26.4,1276,40.2,934,76.7,257,"42,159",165,10.2,1552,6%,956
Riga Technical University,18.4,1402,22.7,898,22,664,14.8,1563,62.6,248,60.9,463,"10,745",1253,33.4,133,21%,286
Ritsumeikan University,18.4,1403,18.9,1225,13,1194,16.9,1502,39.3,1068,40.1,955,"34,906",285,17.3,779,10%,688
University of the Ryukyus,18.4,1404,20.7,1068,12.6,1221,16.9,1503,45.4,550,33.2,1159,"7,534",1489,9.9,1588,2%,1419
Saga University,18.4,1405,22.4,922,12.7,1210,17.3,1484,49.1,429,23.6,1536,"6,577",1553,9.9,1589,3%,1267
Université Saint-Joseph de Beyrouth,18.4,1406,21.9,965,10.1,1496,18.7,1448,40.1,953,69.2,353,"7,906",1463,11.3,1459,6%,951
Saitama Medical University,18.4,1407,23.7,830,9,1641,38.7,1047,40.3,917,16.2,1785,"1,908",1760,1.4,1793,0%,1796
Samara National Research University (Samara University),18.4,1408,21.3,1017,15.4,999,17.6,1474,42.8,701,36.5,1054,"9,172",1368,11.3,1458,17%,417
"University of Santiago, Chile (USACH)",18.4,1409,16.6,1540,16.1,948,14.6,1568,37.6,1407,46.6,759,"23,419",618,22.5,403,2%,1318
Sapporo Medical University,18.4,1410,25.4,717,11.3,1342,25.5,1296,41,846,15.9,1790,"1,299",1781,3.2,1782,0%,1793
SASTRA University,18.4,1411,17.7,1399,10.4,1467,43.2,970,44.6,581,19.4,1709,"9,945",1307,13.8,1196,1%,1583
Sathyabama Institute of Science and Technology,18.4,1412,22.7,899,9.9,1529,24.7,1315,37.5,1437,23.8,1527,"12,971",1128,12.1,1379,5%,1029
Universitas Sebelas Maret,18.4,1413,17.9,1360,17.3,876,23.6,1340,70.8,190,25.8,1432,"28,398",456,18.3,693,1%,1529
Selçuk University,18.4,1414,17.9,1361,13,1196,32.5,1162,78,131,28.6,1324,"36,084",262,19.6,595,7%,851
Semnan University,18.4,1415,17.9,1362,11.1,1379,40.7,1014,37.4,1477,19.6,1702,"15,415",986,13.7,1206,1%,1588
University of Seoul,18.4,1416,22.6,907,21.1,704,26.1,1284,40.9,858,26.4,1405,"9,759",1324,17.5,767,4%,1098
Seoul National University of Science and Technology (SeoulTech),18.4,1417,23.2,866,17.7,853,17,1498,43,683,26.1,1419,"9,526",1347,14.9,1056,8%,792
University of Sfax,18.4,1418,25.2,733,14,1102,22.6,1364,37.3,1536,43.6,846,"29,118",439,12.9,1292,2%,1400
Shahed University,18.4,1419,27.3,638,14.2,1090,17.6,1475,40.8,864,16.2,1783,"5,501",1620,16.8,845,0%,1737
Shahid Bahonar University of Kerman,18.4,1420,19.8,1146,13.7,1124,29.7,1221,43,680,21.5,1630,"14,509",1040,23.8,354,1%,1475
​Shahid Chamran University of Ahvaz,18.4,1421,22.1,946,17.2,880,22.5,1366,79.3,121,22.3,1596,"15,096",1008,25.6,291,4%,1064
Shahid Rajaee Teacher Training University,18.4,1422,17.4,1435,15,1027,26.3,1277,46.3,510,23.8,1524,"9,060",1381,38.1,76,0%,1658
University of Shanghai for Science and Technology,18.4,1423,18.9,1226,10.5,1453,26.7,1270,50.4,403,21.8,1615,"25,884",541,9.7,1601,2%,1421
Shibaura Institute of Technology,18.4,1424,19.1,1210,17.4,872,11.8,1628,42.6,717,38.8,987,"9,007",1387,27.9,225,6%,897
Shiga University of Medical Science,18.4,1425,27.3,639,11.3,1341,29.4,1225,44.8,575,21.6,1627,"1,160",1785,3.1,1783,3%,1281
Shinshu University,18.4,1426,21.5,1002,14.9,1031,24.3,1320,42.4,729,27.1,1382,"10,603",1265,10.4,1543,3%,1263
Showa University,18.4,1427,29.5,544,9,1638,30.5,1198,39,1119,17.7,1754,"3,662",1700,1.6,1792,0%,1795
Siberian Federal University,18.4,1428,24.8,762,19.6,757,17,1497,68.4,208,54.9,574,"9,724",1329,18.9,650,13%,545
Silesian University of Technology,18.4,1429,18,1345,14.2,1093,22.2,1375,40.2,935,21.7,1624,"18,396",829,12.4,1349,4%,1131
Sofia University,18.4,1430,25,749,11.1,1368,16.4,1518,37.8,1356,39,983,"22,490",652,6.5,1744,6%,965
Soonchunhyang University,18.4,1431,17.8,1383,19.4,771,24.1,1323,38.2,1260,28.5,1328,"11,543",1205,19.2,633,4%,1088
Soongsil University,18.4,1432,24.4,792,12.5,1230,13.4,1596,38.5,1196,30.9,1236,"16,142",939,19.8,585,10%,681
Université Sorbonne Nouvelle,18.4,1433,31.7,456,12,1282,7.4,1721,36.9,1789,72.1,319,"16,698",914,24,344,29%,150
University of Sousse,18.4,1434,23.4,846,9.4,1584,24.1,1326,36.9,1767,40.1,958,"25,602",550,13.4,1230,2%,1390
Southern Federal University,18.4,1435,22.2,935,13.4,1153,13,1607,48.2,455,37.3,1033,"17,299",884,10.2,1554,14%,524
Southwest Jiaotong University,18.4,1436,18.7,1254,21.1,706,30.1,1211,44.4,592,20.6,1667,"46,881",123,17.4,773,1%,1537
Sri Venkateswara University,18.4,1437,36.6,309,10.4,1460,21.4,1394,37.3,1538,23.6,1539,"7,248",1511,14.6,1102,0%,1760
SRM Institute of Science and Technology,18.4,1438,18.6,1267,10.4,1464,34.4,1123,37.2,1571,20.9,1657,"50,680",92,15.1,1026,2%,1369
Staffordshire University,18.4,1439,17.7,1400,11.4,1334,33.8,1138,37,1678,56.4,545,"10,050",1299,17.5,766,13%,549
State University of Malang,18.4,1440,19.4,1185,10.5,1452,35.8,1098,36.9,1755,23.2,1556,"36,741",245,35.6,102,4%,1056
St Petersburg Electrotechnical University (LETI),18.4,1441,19.2,1198,15.4,1001,14,1587,54.8,328,38.1,1012,"8,495",1427,13.4,1235,21%,308
Suranaree University of Technology,18.4,1442,20.2,1115,15.9,964,18.1,1464,68.3,209,32.2,1183,"15,505",977,30.4,169,2%,1298
University of Talca,18.4,1443,17,1490,11.9,1296,25.3,1301,38.3,1229,52.3,620,"11,372",1220,12.5,1347,1%,1603
Tamkang University,18.4,1444,15.8,1617,12.7,1218,23.7,1338,38.6,1179,39.9,960,"23,207",630,22.9,391,7%,843
University of Tarapacá,18.4,1445,14.7,1715,18.2,839,23.6,1339,37.2,1575,52.6,615,"9,758",1325,30.2,179,3%,1164
Taras Shevchenko National University of Kyiv,18.4,1446,23.6,835,12.9,1199,10.8,1650,37.5,1447,30.4,1257,"23,857",605,10,1571,5%,1037
Technical University of Košice,18.4,1447,21.3,1018,15.8,972,12.5,1615,40.4,912,44.8,804,"9,348",1356,12.3,1366,20%,342
Technological University of Pereira,18.4,1448,14.8,1705,7.8,1788,31.4,1181,38,1296,31.5,1215,"17,968",851,18.4,690,0%,1722
University of Technology of Compiègne,18.4,1449,22.5,914,10.8,1415,20.2,1418,41.4,812,81.1,209,"4,269",1676,15.9,941,21%,301
University of Technology of Troyes,18.4,1450,23.5,841,11,1390,22.3,1374,42,752,69.4,350,"3,189",1717,19.4,617,23%,240
Teikyo University,18.4,1451,15.7,1628,11.1,1382,44.9,945,38.7,1160,22.7,1585,"22,937",636,15.9,937,5%,1002
Universiti Teknikal Malaysia Melaka,18.4,1452,16.1,1595,11.4,1337,22,1381,37.5,1438,39.4,975,"11,716",1195,16.3,888,7%,863
Institut Teknologi Sepuluh Nopember,18.4,1453,19.5,1174,12.3,1259,17.3,1485,49.1,430,41.6,914,"17,893",856,10.6,1524,3%,1262
Texas State University,18.4,1454,19.1,1211,16.2,942,31.1,1185,39.8,995,35,1097,"31,639",366,19.3,620,1%,1520
Tezpur University,18.4,1455,27.5,625,18.1,840,22.1,1378,37.9,1327,16,1788,"4,028",1683,15,1046,1%,1569
Thammasat University,18.4,1456,21.9,966,17,893,11.9,1626,43.6,640,33,1167,"30,995",383,11.7,1413,1%,1612
The John Paul II Catholic University of Lublin,18.4,1457,25.9,698,12,1284,30.4,1203,37.1,1615,30.8,1243,"10,070",1297,10.7,1515,9%,752
TOBB University of Economics and Technology,18.4,1458,19,1216,11.4,1332,30.3,1207,39,1120,27.6,1364,"4,822",1658,12.8,1313,1%,1601
Toho University,18.4,1459,21,1038,15,1022,22.4,1373,41.9,767,19.3,1714,"5,421",1629,13.4,1237,0%,1767
Tokai University,18.4,1460,16.7,1529,11,1399,26.2,1281,37,1682,26.4,1407,"28,334",458,15.8,946,4%,1113
Tokat Gaziosmanpaşa University,18.4,1461,15.7,1629,8,1772,30.5,1199,37.3,1531,28.5,1330,"19,358",773,14.6,1096,11%,637
Tokushima University,18.4,1462,23.7,831,22.8,632,12.4,1619,62,251,24.4,1498,"7,508",1490,9.6,1611,3%,1269
Tokyo University of Agriculture and Technology,18.4,1463,27.6,621,25.2,553,12,1623,53,356,31.2,1228,"5,686",1611,15.2,1024,6%,932
Tokyo University of Marine Science and Technology,18.4,1464,24.6,781,15.1,1014,14.3,1581,48.2,454,36.8,1049,"2,595",1741,10.5,1536,8%,815
Tokyo University of Science,18.4,1465,22.3,926,24.4,577,11.3,1639,47.2,485,24.5,1496,"18,091",845,24.3,333,3%,1174
Tomas Bata University in Zlín,18.4,1466,16.9,1505,19.4,773,16.8,1506,40.2,936,49.1,692,"9,129",1373,19.6,600,10%,682
University of Toyama,18.4,1467,22.2,936,15,1021,25.4,1298,47.6,469,29.3,1297,"8,988",1388,12,1394,3%,1254
Toyohashi University of Technology (TUT),18.4,1468,22.6,908,21.3,695,11.7,1632,56.6,300,36.8,1048,"2,033",1757,10.6,1528,14%,521
Transilvania University of Brașov,18.4,1469,15,1688,10.4,1471,34.3,1125,37.4,1478,29.5,1289,"19,351",774,18,716,1%,1531
Tshwane University of Technology,18.4,1470,16.2,1587,12.5,1236,35.8,1096,42,750,44.6,814,"45,862",134,39.6,62,2%,1287
Tunghai University,18.4,1471,16.4,1566,12.4,1248,24.7,1314,41.2,827,41.6,916,"15,160",1001,20.3,540,10%,678
University of Tunis El Manar,18.4,1472,28.8,575,13.7,1121,19.5,1425,38.2,1263,43.7,842,"26,825",510,11.1,1476,2%,1413
Tzu Chi University,18.4,1473,19.8,1147,24.2,587,9.4,1685,78,132,27.2,1377,"3,373",1710,9.8,1599,10%,718
UNIR – International University of La Rioja,18.4,1474,13,1783,11.9,1299,28.2,1248,37,1679,58.1,513,"27,135",501,26.7,254,41%,51
Unisinos University,18.4,1475,23.6,836,14.6,1054,14.7,1565,40.3,922,24.8,1480,"9,529",1346,18.2,704,0%,1723
Université Chouaïb Doukkali,18.4,1476,14.4,1728,10.3,1481,29.9,1216,38.5,1193,25.4,1448,"21,654",687,33.6,128,2%,1295
Universiti Malaysia Terengganu (UMT),18.4,1477,17.8,1384,16.7,915,27.9,1252,40.7,876,41.8,908,"9,510",1351,15.7,963,5%,1006
Universiti Tun Hussein Onn Malaysia (UTHM),18.4,1478,19.8,1148,15.9,965,22.5,1367,37.3,1537,39.6,968,"15,498",978,16.4,877,6%,923
Ural Federal University,18.4,1479,23.8,826,23.2,618,15,1555,62.9,245,55.2,569,"26,370",523,13.1,1266,17%,412
USAMV Cluj-Napoca,18.4,1480,16.8,1512,9.1,1634,40.1,1028,38.4,1209,38.9,986,"5,643",1616,18.5,685,7%,855
University of Valladolid,18.4,1481,19.9,1141,13.2,1171,28.9,1235,39.7,1010,38.4,1001,"21,780",681,11.2,1466,8%,809
Veltech University,18.4,1482,16.6,1541,8.6,1707,46.8,911,37.9,1323,22.9,1574,"8,568",1421,13.6,1214,2%,1387
University of Venda,18.4,1483,20.3,1106,28.5,461,9.5,1683,41.3,820,43.8,836,"11,407",1218,27.8,228,1%,1462
"Vignan’s Foundation for Science, Technology and Research",18.4,1484,17.9,1363,7.8,1783,31.3,1184,37.4,1479,16.4,1782,"7,072",1527,11.7,1419,1%,1613
Vilnius Gediminas Technical University (Vilnius Tech),18.4,1485,18,1346,14.7,1048,32.1,1170,43.2,658,47.7,726,"8,322",1442,13,1284,11%,644
"Visvesvaraya National Institute of Technology, Nagpur",18.4,1486,20.8,1054,13.5,1144,30,1215,46.9,493,17,1769,"4,882",1653,16.6,863,3%,1218
V.N. Karazin Kharkiv National University,18.4,1487,21.5,1003,10.5,1451,4.6,1771,37.1,1636,45.5,790,"17,080",893,8.5,1672,26%,204
Volgograd State Technical University,18.4,1488,15.9,1607,9.6,1563,39.2,1042,38.8,1152,23,1568,"11,790",1190,13.1,1272,9%,746
Voronezh State Technical University,18.4,1489,19.7,1154,8.7,1685,40.4,1022,38.6,1176,20.5,1671,"9,947",1305,9.3,1628,6%,960
Vytautas Magnus University,18.4,1490,18.3,1303,12.4,1245,15.5,1545,37,1694,67.7,375,"7,765",1475,11.3,1461,14%,517
Warsaw University of Life Sciences – SGGW,18.4,1491,16.2,1588,11.5,1324,28.6,1240,42.1,744,28.2,1337,"15,736",963,13.6,1211,6%,943
Warsaw University of Technology,18.4,1492,18.4,1288,17.6,860,15.8,1535,41,847,28.6,1326,"25,021",566,18.9,649,7%,854
University of West Bohemia,18.4,1493,18.5,1278,16,957,30.7,1194,40.3,919,31.6,1208,"11,054",1239,14.7,1082,4%,1119
University of Western Macedonia,18.4,1494,17.8,1385,15.4,1003,26.4,1274,37.7,1370,28.9,1309,"7,891",1465,33.6,130,1%,1452
Western Michigan University,18.4,1495,22.7,900,15.2,1010,24.7,1313,37.3,1533,36,1066,"17,612",874,19.9,573,8%,778
Wrocław University of Environmental and Life Sciences,18.4,1496,16.7,1530,12.7,1216,23,1355,39,1121,26.3,1410,"7,351",1498,17.1,802,4%,1102
University of Wrocław,18.4,1497,21,1039,24,592,20.1,1419,37.4,1483,41,935,"19,501",766,16.4,875,7%,862
Wuhan Textile University,18.4,1498,13.7,1761,10,1525,33.8,1139,38.3,1225,18.6,1724,"22,221",662,16,922,1%,1554
Xiangtan University,18.4,1499,17.1,1472,14.3,1087,39.2,1040,41.1,832,19.3,1715,"32,981",330,21.9,437,1%,1494
Xuzhou Medical University,18.4,1500,14.7,1716,14.2,1097,25.6,1291,37.3,1532,18.2,1739,"13,796",1078,20.3,541,3%,1193
Yamagata University,18.4,1501,22.3,927,13.4,1152,27.4,1264,53.5,345,26.8,1392,"8,684",1410,8.8,1649,2%,1424
University of Yamanashi,18.4,1502,24.6,782,12.3,1254,23,1356,39.4,1054,24.3,1501,"4,604",1668,6.1,1751,5%,1048
Yazd University,18.4,1503,19.3,1192,14.8,1041,28.1,1250,37.2,1572,28.3,1336,"14,448",1045,30.3,172,2%,1299
Yokohama National University,18.4,1504,21.7,978,20.4,727,11.5,1637,52.7,361,30.8,1240,"9,723",1330,13.1,1273,8%,798
Yuan Ze University,18.4,1505,18.2,1322,21.7,676,16.7,1510,55.8,307,35.8,1073,"7,339",1500,24.3,336,6%,903
Yuriy Fedkovych Chernivtsi National University,18.4,1506,17.6,1412,8.9,1659,7.1,1730,37,1706,24.8,1484,"11,353",1221,10.9,1492,1%,1622
University of Zagreb,18.4,1507,20.1,1123,14.9,1032,30.3,1206,45.6,540,34.8,1106,"65,436",53,16.6,853,4%,1105
University of Zanjan,18.4,1508,15.9,1608,12.1,1281,31.8,1173,40.3,918,23.6,1537,"9,611",1341,23.5,371,0%,1696
Zanjan University of Medical Sciences,18.4,1509,21.9,967,9.5,1572,30.4,1204,37.7,1368,18,1747,"4,698",1660,10.9,1496,1%,1623
University of Abou Bekr Belkaïd Tlemcen,10.4,1510,22.7,901,8.8,1669,10.6,1658,37,1699,34.9,1104,"40,203",189,20.2,548,1%,1513
Akita University,10.4,1511,21.1,1033,11.7,1310,13.4,1597,40.8,866,24.1,1515,"5,016",1647,10.5,1534,4%,1139
Aksaray University,10.4,1512,12.7,1791,8.5,1726,22.2,1376,37.2,1577,24.8,1482,"21,377",694,25.7,285,8%,768
Alexandru Ioan Cuza University,10.4,1513,16.7,1531,11.7,1311,13.3,1602,37,1698,35.7,1078,"24,847",572,22.1,429,7%,844
Alzahra University,10.4,1514,20,1133,11.6,1313,13.4,1598,38,1305,28.8,1312,"10,128",1294,23.6,363,2%,1314
"University of the Andes, Venezuela",10.4,1515,15.9,1609,7.8,1787,8.9,1698,36.9,1787,48.1,718,"24,372",589,11.7,1415,2%,1407
Annamalai University,10.4,1516,27.9,607,9.6,1554,11.8,1630,37.5,1443,17.5,1761,"15,770",961,11.5,1438,1%,1615
Aoyama Gakuin University,10.4,1517,17,1491,8.5,1719,9.7,1680,37.5,1449,30.6,1248,"19,348",775,11.7,1416,3%,1257
Universidad Autónoma Chapingo,10.4,1518,22.6,909,8.4,1729,3,1786,37,1713,24.3,1504,"6,228",1581,7.9,1705,1%,1638
Universidad Autónoma de Ciudad Juárez,10.4,1519,14.5,1724,7.6,1796,10.7,1654,36.9,1780,33.4,1155,"36,107",261,15.4,988,2%,1366
Universidad Autónoma de Coahuila,10.4,1520,12.8,1788,8.1,1771,14.4,1580,37.7,1377,25,1464,"28,202",466,29.2,197,0%,1672
Universidad Autónoma del Estado de Hidalgo,10.4,1521,14.7,1717,9,1652,10.7,1653,38.5,1197,23.7,1532,"37,596",230,18.9,647,1%,1525
Universidad Autónoma del Estado de Mexico (UAEMex),10.4,1522,17.9,1364,8.6,1703,5.7,1755,37,1710,24.7,1488,"62,789",56,10.9,1489,1%,1621
Universidad Autónoma del Estado de Morelos,10.4,1523,17.9,1365,7.9,1778,6.6,1739,37.1,1634,24.8,1483,"30,239",402,15.9,932,0%,1746
Universidad Autónoma de Nuevo León (UANL),10.4,1524,13.1,1781,8.7,1696,13.3,1604,37.2,1584,30.5,1254,"132,684",15,47.3,30,1%,1442
Universidad Autónoma de Querétaro,10.4,1525,18.7,1255,9.9,1532,14.7,1566,40.8,865,27.2,1378,"25,399",558,45.3,37,1%,1443
Universidad Autónoma de Yucatán,10.4,1526,15.8,1618,10.3,1479,12.5,1618,46,525,30.5,1251,"18,446",823,14.7,1077,0%,1758
Autonomous University of Baja California,10.4,1527,14,1750,8.7,1694,9.1,1691,37,1702,32,1195,"66,282",51,22.4,408,3%,1180
Badji Mokhtar University – Annaba,10.4,1528,20,1134,8.1,1763,11.3,1642,37.1,1630,32.7,1172,"41,841",168,14.2,1141,1%,1576
University of Baghdad,10.4,1529,21.6,985,11.1,1373,14.6,1570,44.2,604,19.5,1704,"73,873",38,9.4,1620,0%,1786
Baku State University,10.4,1530,16.5,1558,7.8,1785,15.1,1554,37.2,1580,40.5,945,"23,323",625,13.3,1240,2%,1391
Bashkir State University,10.4,1531,16.3,1576,9.3,1609,4.2,1774,40.2,937,17.9,1749,"14,740",1027,13.1,1271,3%,1243
Başkent University,10.4,1532,16.7,1532,11.2,1359,6,1752,36.9,1793,22.3,1598,"13,172",1110,13,1282,2%,1399
University of Basrah,10.4,1533,18.6,1268,7.8,1781,14.5,1576,37,1696,28.8,1314,"41,612",170,12.9,1289,0%,1770
University of Béjaïa,10.4,1534,14.8,1706,8.3,1750,13.3,1605,36.9,1777,43.2,866,"41,381",173,24.4,329,2%,1309
Belarusian State University,10.4,1535,21.5,1004,10,1511,7.3,1725,45.8,532,64.5,413,"24,277",595,7.9,1702,18%,392
Belgorod State National Research University,10.4,1536,19.2,1199,11.4,1330,7.8,1713,50.6,401,38.3,1004,"13,990",1067,15.7,961,19%,357
Benemérita Universidad Autónoma de Puebla,10.4,1537,12.7,1792,9.4,1599,10.6,1656,36.9,1781,28.2,1340,"75,483",35,40.5,58,1%,1446
Bialystok University of Technology,10.4,1538,20.2,1116,14.6,1057,9.5,1684,37.6,1410,22,1611,"6,417",1561,10.6,1527,4%,1138
University of Bío-Bío,10.4,1539,13.8,1758,8.5,1725,8.1,1707,37,1704,46.3,766,"12,343",1164,24.8,314,1%,1472
University of Biskra,10.4,1540,20.9,1047,8.2,1754,16.8,1509,37,1692,35.7,1077,"33,049",327,23.1,383,0%,1698
Blida 1 University,10.4,1541,18.3,1304,8.3,1743,18.2,1461,37.1,1620,35.9,1070,"30,076",409,20.4,530,1%,1511
Bolu Abant Izzet Baysal University,10.4,1542,15.6,1635,8.5,1723,23.2,1348,37.1,1617,23,1570,"24,348",591,23.5,367,3%,1178
University of Brawijaya,10.4,1543,19.1,1212,9.4,1586,9.3,1688,38.8,1154,21.4,1638,"50,116",96,12.3,1355,1%,1605
Burapha University,10.4,1544,15,1689,9.3,1610,11.1,1645,38,1308,25.2,1457,"30,800",387,21.8,441,1%,1495
Bursa Uludağ University,10.4,1545,16.3,1577,10.1,1503,15,1559,43.1,666,28.3,1335,"42,787",160,25.3,300,9%,727
Catholic University of Brasília,10.4,1546,16.3,1578,9,1647,10.5,1663,36.9,1782,33.7,1142,"8,865",1395,17.8,735,0%,1728
University of Caxias do Sul,10.4,1547,14.8,1707,8.9,1661,11.1,1646,37.5,1445,18.6,1726,"13,554",1093,25.8,283,0%,1686
Ceará State University,10.4,1548,17.9,1366,10,1517,5.1,1764,38.1,1290,18.6,1725,"18,436",824,16.6,858,0%,1738
Manisa Celal Bayar University,10.4,1549,14.2,1743,7.8,1789,24.4,1319,36.9,1766,18.2,1740,"40,533",187,22.4,410,2%,1320
Chaoyang University of Technology,10.4,1550,15,1690,16.1,949,10.5,1660,46.1,521,34.3,1125,"14,645",1030,38.1,74,6%,891
Chiba Institute of Technology,10.4,1551,15.1,1680,9.1,1636,7.3,1726,39.8,1000,18.5,1728,"9,895",1310,24.3,335,2%,1311
Chinese Culture University,10.4,1552,14.9,1697,9.4,1595,8.9,1696,37.5,1451,27.9,1350,"23,216",629,23.3,376,5%,979
Chubu University,10.4,1553,16.4,1567,10.5,1455,13.6,1595,39,1124,30.7,1245,"9,128",1374,16.8,843,2%,1353
Chuo University,10.4,1554,25.3,723,11.7,1308,8.6,1702,40.4,913,26.2,1415,"25,954",538,35.3,106,4%,1057
University of Colima,10.4,1555,18.3,1305,7.7,1794,12.1,1622,37.1,1628,29.2,1300,"13,665",1086,9.6,1610,0%,1785
Comillas Pontifical University,10.4,1556,17.6,1413,14.5,1068,13.8,1591,46,524,38.3,1005,"10,065",1298,21.8,443,6%,906
Communication University of China,10.4,1557,22.3,928,15.1,1015,2.9,1787,49.2,427,19.7,1695,"16,350",930,14,1176,5%,1021
Cracow University of Technology,10.4,1558,17.6,1414,9.8,1543,21.9,1385,41.4,811,21.6,1628,"13,339",1100,12.9,1296,2%,1401
University of Craiova,10.4,1559,16.8,1513,10.8,1420,11.9,1627,37.9,1333,21.5,1631,"18,411",827,22.5,404,4%,1074
Cukurova University,10.4,1560,17.3,1451,9.8,1544,18.9,1443,39.9,986,23.3,1552,"40,200",190,17.8,727,5%,993
University of Dar es Salaam,10.4,1561,13.9,1754,9.5,1581,16.7,1513,37.5,1440,47.4,736,"37,385",236,24.8,312,0%,1688
Dicle University,10.4,1562,19.5,1175,8.4,1730,10.9,1649,37.1,1631,17.7,1757,"31,401",372,17.3,781,2%,1349
Diponegoro University,10.4,1563,22.3,929,11.2,1355,12.3,1620,47.8,463,28.4,1331,"38,567",215,13.5,1220,2%,1388
Dokkyo Medical University,10.4,1564,24.7,773,8.6,1699,14.6,1572,39.6,1027,16.8,1774,"1,338",1778,1.2,1795,0%,1797
Doshisha University,10.4,1565,17.3,1452,10.1,1499,5.4,1760,37.9,1336,30.3,1262,"27,764",482,18.5,680,4%,1093
Dumlupinar University,10.4,1566,12,1796,8.9,1666,31,1188,40.1,951,23.4,1546,"49,511",102,50.4,21,8%,760
Dunarea de Jos University of Galati,10.4,1567,16.1,1596,9,1648,6.3,1748,37,1708,38.5,1000,"12,770",1139,16.6,860,21%,299
EAFIT University,10.4,1568,14.3,1737,11,1402,9.8,1679,37.6,1409,42.6,883,"14,164",1060,23.8,355,2%,1313
Erzincan Binali Yıldırım University,10.4,1569,13.6,1767,8.2,1761,31.5,1178,36.9,1759,18.3,1735,"13,773",1079,18.7,665,3%,1204
Escuela Politécnica Nacional,10.4,1570,15.8,1619,9.4,1592,20.3,1416,37.3,1541,49,696,"7,084",1526,12.9,1298,1%,1597
Eskişehir Osmangazi University,10.4,1571,17.4,1436,14.8,1044,17.1,1494,37.2,1578,19.8,1693,"30,822",386,19.6,596,3%,1198
Universidade do Estado de Santa Catarina,10.4,1572,19.7,1155,11.1,1377,16.3,1521,37.1,1622,18.1,1745,"12,404",1158,12.9,1297,1%,1596
Universidade Estadual do Norte Fluminense Darcy Ribeiro,10.4,1573,22.1,947,12.4,1242,11.3,1641,40,974,29.6,1284,"6,910",1537,23,387,0%,1699
Universidade Estadual de Maringá,10.4,1574,22.9,888,13.3,1163,11.4,1638,37.4,1491,19.1,1717,"19,442",768,12.6,1334,0%,1773
Universidade Estadual do Oeste do Paraná (Unioeste),10.4,1575,22.2,937,9.3,1603,4.8,1768,37,1711,17.9,1750,"10,540",1270,9,1644,0%,1788
"Federal University of Agriculture, Abeokuta",10.4,1576,15,1691,8.8,1679,16,1532,37.5,1442,26,1426,"17,038",896,25.9,280,0%,1685
