name,ovr_score,ovr_rank,tch_score,tch_rank,res_score,res_rank,cit_score,cit_rank,ind_score,ind_rank,int_score,int_rank,std_stat,std_rank,stf_stat,stf_rank,int_stat,int_rank
Indiana University,56.5,170,45.5,153,39.4,248,85.5,230,53.6,342,54.3,585,"66,637",50,12.6,1332,13%,564
Université Catholique de Louvain,56.5,171,39.9,238,50.4,136,72.8,446,57.7,291,82.3,190,"24,523",581,36,100,20%,315
Sungkyunkwan University (SKKU),56.5,172,52.8,94,54,114,59.4,678,98.3,27,56.4,542,"23,399",621,19.4,613,18%,375
Wuhan University,56.4,173,43.5,178,40.5,228,89.2,164,69.4,199,35.3,1084,"55,412",80,15.2,1018,6%,931
Ulsan National Institute of Science and Technology (UNIST),56.3,174,41.3,210,42,212,85.9,222,89.9,67,43.7,839,"3,896",1691,13.6,1217,9%,745
Macquarie University,56.2,175,38.7,265,44.6,182,76.1,388,64.9,234,89.8,111,"30,561",389,69,9,27%,178
Huazhong University of Science and Technology,56.1,176,42.2,197,42.6,203,88.8,170,83.2,99,25.5,1442,"57,167",73,16.2,892,4%,1107
University of Liverpool,56.1,177,33.2,401,37.7,268,89.4,159,39.6,1016,94.1,60,"26,350",525,14.2,1147,36%,86
Stockholm University,56.1,178,29.7,532,50.4,137,87.1,202,38.3,1221,66.3,387,"30,365",395,20.7,510,7%,847
University of Mannheim,56,179,40,234,48.2,145,79,344,61,262,57.4,522,"7,684",1479,58.2,14,13%,532
University of Arizona,55.9,180,45.8,150,47,156,78.7,349,52.1,367,41.3,930,"39,797",198,17,805,9%,737
Texas A&M University,55.8,181,50.2,110,54.8,110,63.2,603,45.1,558,56,556,"62,931",55,21.3,464,8%,775
University of Barcelona,55.7,182,33.1,403,43.4,196,89.9,152,50.2,405,59.9,479,"45,004",144,15.8,943,11%,633
Autonomous University of Barcelona,55.6,183,35.1,339,38.8,254,91.1,131,43,668,67.1,381,"31,933",358,12.7,1317,16%,441
Scuola Normale Superiore di Pisa,55.6,184,56.7,75,36.5,286,74.8,418,38.2,1242,56.4,544,629,1798,7.6,1721,13%,573
University of Münster,55.5,185,43.4,180,43.9,190,81.4,288,48.9,431,49.2,687,"28,014",474,25.4,297,7%,835
